"","x"
"284","TMS21F2030P0008.A41484|||TMS21F2030P0008"
"285","TMS21F2229P0087.A41485|||TMS21F2229P0087"
"286","TMS21F1989P0002.A41486|||TMS21F1989P0002"
"287","TMS21F2030P0002.A41487|||TMS21F2030P0002"
"288","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"289","TMS21F1991P0005.A41488|||TMS21F1991P0005"
"290","TMS21F2011P0002.A41489|||TMS21F2011P0002"
"291","TMS21F2055P0025.A41625|||TMS21F2055P0025"
"292","TMS21F2003P0003.A41503|||TMS21F2003P0003"
"293","TMS21F2259P0031.A41504|||TMS21F2259P0031"
"294","TMS21F2256P0064.A41505|||TMS21F2256P0064"
"295","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"296","TMS21F2154P0027.A41506|||TMS21F2154P0027"
"297","TMS21F2260P0019.A41507|||TMS21F2260P0019"
"298","TMS21F2054P0028.A41508|||TMS21F2054P0028"
"299","TMS21F2255P0041.A41509|||TMS21F2255P0041"
"300","TMS21F2220P0009.A41510|||TMS21F2220P0009"
"301","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
"302","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"303","TMS21F2254P0003.A41511|||TMS21F2254P0003"
"304","TMS21F2243P0074.A41512|||TMS21F2243P0074"
"305","TMS21F2244P0097.A41513|||TMS21F2244P0097"
"306","TMS21F2097P0006.A41514|||TMS21F2097P0006"
"307","TMS21F2087P0006.A41515|||TMS21F2087P0006"
"308","TMS21F2250P0074.A41516|||TMS21F2250P0074"
"309","TMS21F2255P0070.A41517|||TMS21F2255P0070"
"310","TMS21F2090P0004.A41518|||TMS21F2090P0004"
"311","TMS21F1983P0002.A41519|||TMS21F1983P0002"
"312","TMS21F2095P0006.A41520|||TMS21F2095P0006"
"313","TMS21F2260P0058.A41521|||TMS21F2260P0058"
"314","TMS21F2228P0003.A41522|||TMS21F2228P0003"
"315","TMS21F2229P0040.A41523|||TMS21F2229P0040"
"316","TMS21F2117P0001.A41524|||TMS21F2117P0001"
"317","TMS21F2234P0050.A41525|||TMS21F2234P0050"
"318","TMS21F2119P0004.A41526|||TMS21F2119P0004"
"319","TMS21F1976P0021.A41527|||TMS21F1976P0021"
"320","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"321","TMS21F2090P0023.A41528|||TMS21F2090P0023"
"322","TMS21F2246P0100.A41529|||TMS21F2246P0100"
"323","TMS21F2239P0039.A41530|||TMS21F2239P0039"
"324","TMS21F2245P0080.A41532|||TMS21F2245P0080"
"325","TMS21F2257P0072.A41533|||TMS21F2257P0072"
"326","TMS21F2252P0015.A41534|||TMS21F2252P0015"
"327","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
"328","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"329","TMS21F2253P0067.A41535|||TMS21F2253P0067"
"330","TMS21F2246P0015.A41536|||TMS21F2246P0015"
"331","TMS21F2227P0016.A41537|||TMS21F2227P0016"
"332","TMS21F2242P0004.A41538|||TMS21F2242P0004"
"333","TMS21F2243P0020.A41539|||TMS21F2243P0020"
"334","TMS21F2107P0001.A41540|||TMS21F2107P0001"
"335","TMS21F2248P0095.A41541|||TMS21F2248P0095"
"336","TMS21F2233P0086.A41542|||TMS21F2233P0086"
"337","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"338","TMS21F2094P0001.A41543|||TMS21F2094P0001"
"339","TMS21F2019P0018.A41544|||TMS21F2019P0018"
"340","TMS21F2242P0091.A41545|||TMS21F2242P0091"
"341","TMS21F2228P0059.A41546|||TMS21F2228P0059"
"342","TMS21F1979P0023.A41547|||TMS21F1979P0023"
"343","TMS21F2024P0004.A41548|||TMS21F2024P0004"
"344","TMS21F2227P0052.A41549|||TMS21F2227P0052"
"345","TMS21F2151P0001.A41550|||TMS21F2151P0001"
"346","TMS21F2250P0102.A41551|||TMS21F2250P0102"
"347","TMS21F2244P0062.A41552|||TMS21F2244P0062"
"348","TMEB419.A42586|||TMEB419"
"349","TMEB419.A42682|||TMEB419"
"350","TMS21F2087P0016.A41553|||TMS21F2087P0016"
"351","TMS21F2243P0007.A41554|||TMS21F2243P0007"
"352","TMS21F2255P0024.A41555|||TMS21F2255P0024"
"353","TMS21F2248P0021.A41556|||TMS21F2248P0021"
"354","TMS21F2249P0074.A41557|||TMS21F2249P0074"
"355","TMS21F2250P0105.A41558|||TMS21F2250P0105"
"356","TMS21F2016P0003.A41559|||TMS21F2016P0003"
"357","IITA-TMS-IBA000070.A41595|||IITA-TMS-IBA000070"
"358","IITA-TMS-IBA000070.A42684|||IITA-TMS-IBA000070"
"359","TMS21F2043P0006.A41560|||TMS21F2043P0006"
"360","TMS21F2228P0008.A41561|||TMS21F2228P0008"
"361","TMS21F2044P0001.A41562|||TMS21F2044P0001"
"362","TMS21F2257P0108.A41563|||TMS21F2257P0108"
"363","TMS13F1343P0022.A41596|||TMS13F1343P0022"
"364","TMS21F2084P0003.A41564|||TMS21F2084P0003"
"365","TMS21F2044P0019.A41565|||TMS21F2044P0019"
"366","TMS21F2030P0001.A41566|||TMS21F2030P0001"
"367","TMS21F2170P0008.A41567|||TMS21F2170P0008"
"368","TMS21F2014P0009.A41569|||TMS21F2014P0009"
"369","TMS21F2256P0070.A41570|||TMS21F2256P0070"
